dwc:occurrenceID,dwc:basisOfRecord,dcterms:modified,dwc:institutionCode,dwc:collectionCode,dwc:catalogNumber,dwc:otherCatalogNumbers,dwc:recordNumber,dwc:recordedBy,dwc:preparations,dwc:kingdom,dwc:phylum,dwc:class,dwc:order,dwc:family,dwc:genus,dwc:specificEpithet,dwc:infraspecificEpithet,dwc:scientificName,dwc:scientificNameAuthorship,dwc:taxonRank,dwc:taxonomicStatus,dwc:typeStatus,dwc:identifiedBy,dwc:dateIdentified,dwc:identificationRemarks,dwc:verbatimCoordinates,dwc:locality,dwc:decimalLatitude,dwc:decimalLongitude,dwc:georeferencedBy,dwc:georeferencedDate,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:verbatimEventDate,dwc:eventDate,dwc:year,dwc:month,dwc:day,dwc:samplingProtocol,dwc:eventRemarks,dwc:occurrenceRemarks
{ECF51FB2-AA0F-4B2B-A02B-006F95FB68DC},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,211,,,,1 Unknown,,,,,,,,,,,,,,,,,,No locality name,,,,,,,,,,,,,,"no entry in catalogue, no detail|Determination Name verified: A.J.L. Lambiris"
{71BECC16-32A5-41EF-B06F-7D9DD194BAA8},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,1367,,CR 423,"Reid, C.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Colubridae,Crotaphopeltis,hotamboeia,,"Crotaphopeltis hotamboeia (Laurenti, 1768)","(Laurenti, 1768)",species,accepted,,,,Determination Name verified: A.J.L. Lambiris |1961CatName: Crotaphopeltis hotamboeia,29.912727° S 30.873667° E,"Chatsworth, Trisula Avenue",-29.9127270000,30.8736670000,"Richards, L.R.",Tue Jun 27 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,1986/01/12|1986.i.12,1986-01-12,1986,01,12,,Habitat: urban,Presented by Clive Reid
{A3233DEC-29F0-42FB-8834-0A8167E33769},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,1616,,RCBS 1004,"Maclay, J. | Boycott, R.C.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Viperidae,Bitis,,arietans,Bitis arietans arietans,,subspecies,accepted,,,,Determination Name verified: A.J.L. Lambiris |1961CatName: Bitis arietans arietans,25.968847° S 31.121177° E,"Malolotja Nature Reserve, northern boundary",-25.9688470000,31.1211770000,"Boycott, R.C.",Wed Jun 07 2017 00:00:00 GMT+0200 (South Africa Standard Time),0.000278,,1992/07/24|1992.07.24,1992-07-24,1992,07,24,,Habitat: grassland on hilltop,Donation: R.C. Boycott
{FD500232-A726-4494-B529-0AAED95E8E3F},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,1082,,CR 325,"Reid, C.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Elapidae,Naja,mossambica,,"Naja mossambica Peters, 1854","Peters, 1854",species,accepted,,,,Determination Name verified: A.J.L. Lambiris |1961CatName: Naja mossambica,,Escombe,,,,,,,1985/02/10|1985.ii.10,1985-02-10,1985,02,10,,,Presented by Clive Reid
{3044879A-71C4-409C-AA70-1E26A8965C9A},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,852,,GA 193,Bryan,1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Scincidae,Scelotes,mossambicus,,"Scelotes mossambicus (Peters, 1882)","(Peters, 1882)",species,accepted,,"Broadley, D.G.",1993-04-09,Determination Name verified: A.J.L. Lambiris  2016/12/29|OrigCatName: Scelotes brevipes|1961CatName: Scelotes mossambica,29.838053° S 30.967340° E,"Bonela, Candella Road, end of the road",-29.8380530000,30.9673400000,"Richards, L.R.",Fri Jun 30 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,1985/07/03|1985.07.3,1985-07-03,1985,07,03,,,Presented by Graham Alexander
{D5364F3F-F9BB-4133-0AB4-9B43E1DD86BA},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,417,,,"Bourquin, O.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Afroedura,pondolia,,"Afroedura pondolia (Hewitt, 1925)","(Hewitt, 1925)",species,accepted,,"Bates, M.F.",2014-06-29,Determination Name verified: A.J.L. Lambiris  2016/10/26|OrigCatName: Afroedura pondolia pondolia|1961CatName: Afroedura pondolia pondolia,,Umtwalumi,,,,,,,1963/12/01|1963.12,1963-12,1963,12,,,,
{A01FFAE4-9E39-4AE8-984B-0637ED4F736E},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,933,,GA 224,"Alexander, G.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,mabouia,,"Hemidactylus mabouia (Moreau De Jonnès, 1818)","(Moreau De Jonnès, 1818)",species,accepted,,"Lambiris, A.J.",2016-10-11,Determined by: A.J.L. Lambiris|Determination Name verified: A.J.L. Lambiris  2016/11/02|OrigCatName: Hemidactylus mabouia mabouia|1961CatName: Hemidactylus mabouia mabouia,29.864972° S 30.976350° E,"Westridge, Wheeler Road",-29.8649720000,30.9763500000,"Richards, L.R.",Mon Jun 26 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,1985/07/10|1985.07.10,1985-07-10,1985,07,10,,Habitat: urban,Presented by Graham Alexander
{2B5781A4-CB64-43A6-A2A0-0D731BF232B4},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,1178,,CW 110,"Reid, C.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,varia,,"Trachylepis varia (Peters, 1867)","(Peters, 1867)",species,accepted,,,,Determination Name verified: A.J.L. Lambiris  2017/02/01|1961CatName: Mabuya v. varia,,"Hillcrest, Umhlatuzana River, Garth Hill",,,,,,,1985/09/14|1985.09.14,1985-09-14,1985,09,14,,,Presented by Clive Reid
{17B28D3E-EF97-4448-ADF7-E7CA876FBA8B},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,589,,CW 5,"Reid, C.",1 Ethanol (whole animal),,,,,,,,,,,,,,,,,,"John Ross Parkway between Empangeni and Richards Bay, near Triamf",,,,,,,1985/03/17|1985.iii.17,1985-03-17,1985,03,17,,,Donated by Clive Reid
{314B1B62-F3AB-4C71-8EC0-36C8D8924575},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,68,OrigCatNum: 68 [S],,"Lawson, W.J.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Lamprophiidae,Psammophis,mossambicus,,"Psammophis mossambicus Peters, 1882","Peters, 1882",species,accepted,,,,Determination Name verified: A.J.L. Lambiris |OrigCatName: Psammophis ibilan|1961CatName: Psammophis ibilan,,Durban,,,,,,,1961/10/01|1961.x,1961-10,1961,10,,,,
