dwc:occurrenceID,dwc:basisOfRecord,dcterms:modified,dwc:institutionCode,dwc:collectionCode,dwc:catalogNumber,dwc:recordNumber,dwc:fieldNumber,dwc:recordedBy,dwc:organismQuantity,dwc:organismQuantityType,dwc:preparations,dwc:kingdom,dwc:phylum,dwc:class,dwc:order,dwc:family,dwc:genus,dwc:specificEpithet,dwc:infraspecificEpithet,dwc:scientificName,dwc:scientificNameAuthorship,dwc:taxonRank,dwc:taxonomicStatus,dwc:typeStatus,dwc:identifiedBy,dwc:identificationRemarks,dwc:verbatimCoordinates,dwc:locality,dwc:decimalLatitude,dwc:decimalLongitude,dwc:georeferencedBy,dwc:georeferenceVerificationStatus,dwc:verbatimEventDate,dwc:eventDate,dwc:year,dwc:month,dwc:day,dwc:eventRemarks,dwc:occurrenceRemarks
1c0b4d64-1335-4e0a-bf9d-aad214fbbda6,PreservedSpecimen,2018-10-03T10:40:55.000Z,Ditsong,Herpetology,76472,,,"Haurison, O.E.",,individuals,Ethanol (70%),Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,angolensis,,"Rana angolensis Bocage, 1866","Bocage, 1866",species,accepted,,,Rana angolensis,,"Queen Elizabeth Park, Pietermaritzburg district, Kwa-zulu Natal",,,,,Year: 1992; Month: 02; Day: 04,1992-02-04,1992,02,04,,
0d289f87-cd8c-499e-a973-7813c3f6f247,PreservedSpecimen,2019-07-11T15:04:36.000Z,Ditsong,Herpetology,41015,,,"Haacke, W.D.",,,,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Pachydactylus,oreophilus,,"Pachydactylus oreophilus Mclachlan & Spence, 1967","Mclachlan & Spence, 1967",species,accepted,,,Pachydactylus oreophilus,,20 KM W of Virei,,,,,,1971-04-16,1971,04,16,,
0b47d19c-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,58279,,06/04/1980_Farm Laastepoort,Transvaal Nature Conservation,1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Cordylidae,Cordylus,,Cordylus tropidosternum,"Cordylus tropidosternum jonesii Auerbach, 1987","Auerbach, 1987",subspecies,accepted,,,Cordylus tropidosternum jonesii,,Farm Laastepoort,,,,,DD:6 MM:04 YYYY:1980,1980-04-06,1980,04,06,NAT CON,
0a61e457-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,54627,,25/08/1976_Jan SE Draai-Kameelsleep,"Clarke, J.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Scincidae,Mabuya,occidentalis,,"Mabuya occidentalis Fitzsimons & Brain, 1958","Fitzsimons & Brain, 1958",species,accepted,,,Trachylepis occidentalis,,Jan SE Draai-Kameelsleep,,,,,DD:25 MM:08 YYYY:1976,1976-08-25,1976,08,25,J CLARKE,
0a66e60c-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,55271,,"23/05/1981_Shabaku, Nr","Jacobsen, N.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Chirindia,,Chirindia langi,Chirindia langi langi,,subspecies,accepted,,,Chirindia langi langi,,"Shabaku, Nr",,,,,DD:23 MM:05 YYYY:1981,1981-05-23,1981,05,23,NHG Jacobsen,
0d673c41-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,78026,J1547,"23/04/1979_Farm Wemmersvlei, 185","Jacobsen, N.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,varia,,"Trachylepis varia (Peters, 1867)","(Peters, 1867)",species,accepted,,,Trachylepis varia,,"Farm Wemmersvlei, 185",,,,,DD:23 MM:04 YYYY:1979,1979-04-23,1979,04,23,NHG Jacobsen,
07387f6f-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,22885,,01/09/1956_Caraculo,"Koch, C.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Pachydactylus,caraculicus,,"Pachydactylus caraculicus Fitzsimons, 1959","Fitzsimons, 1959",species,accepted,,,Pachydactylus caraculicus,"15° 1' S 12° 40' E",Caraculo,-15.0166666666,12.6666666666,administrator,Unchecked,DD:0 MM:09 YYYY:1956,1956-09,1956,09,,C Kock,
0bd0f4e0-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,65165,,13/09/1986_Phalaborwa,"Haagner, G.V.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Agamidae,Acanthocercus,atricollis,,"Acanthocercus atricollis (Smith, 1849)","(Smith, 1849)",species,accepted,,,Acanthocerus atricollis,"23° 57' S 31° 9' E",Phalaborwa,-23.9500000000,31.1500000000,administrator,Unchecked,DD:13 MM:09 YYYY:1986,1986-09-13,1986,09,13,G HAAGNER,
0cda9534-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,71558,,"07/12/1990_Sandlane, 6km N.e. of",,1,individuals,1 Ethanol (70%),Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Cacosternum,,Cacosternum nanum,Cacosternum nanum parvum,,subspecies,accepted,,,Cacosternum nanum parvum,"26° 33' S 30° 49' E","Sandlane, 6km N.e. of",-26.5500000000,30.8166666666,administrator,Unchecked,DD:7 MM:12 YYYY:1990,1990-12-07,1990,12,07,Boycott,
0d1ebbf3-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,76771,,"25/04/1981_Farm Weimershoek, 81","Jacobsen, N.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Scincidae,Panaspis,wahlbergii,,Panaspis wahlbergii,,species,accepted,,,Panaspis wahlbergii,,"Farm Weimershoek, 81",,,,,DD:25 MM:04 YYYY:1981,1981-04-25,1981,04,25,NHG Jacobsen,
