catalogNumber,verbatimDet
Aca007957,Red mites
Aca007966,Ticks
Aca007985,Ticks
Aca008203,"Acari, Ticks"
Aca008225,"Acari, Ticks"
Aca008301,Termite Queen
Aca008754,"Acari, Ticks"
Aca008756,"Acari, Ticks"
Aca008945,"Acari, Trombiculidae, Trombicula major"
Aca010306,Tick
Aca012604,"Acari, Woodlice"
Aca012607,"Acari, Mites"
Aca012664,"Acari, Tick"
Aca012681,"Acari, Mites"
Aca012692,"Acari, Ticks"
Aca012819,"Acari, Tick"
Aca014560,Acari
Aca014647,Acari
Aca014691,"Acari, Coccipolipus bifasciatae"
Aca014692,"Acari, Coccipolipus bifasciatae"
Aca014693,"Acari, Coccipolipus bifasciatae"
Aca014694,"Acari, Coccipolipus bifasciatae"
Aca014695,"Acari, Coccipolipus bifasciatae"
Aca014696,"Acari, Coccipolipus bifasciatae"
Aca014697,"Acari, Coccipolipus bifasciatae"
Aca014698,"Acari, Coccipolipus benoiti"
Aca014699,"Acari, Coccipolipus solanophilae"
Aca014700,"Acari, Coccipolipus macfarlanei"
Aca014701,"Acari, Coccipolipus macfarlanei"
Aca014702,"Acari, Coccipolipus"
Aca014703,"Acari, Coccipolipus micraspisi"
Aca014704,"Acari, Coccipolipus epilachnae"
Aca014705,"Acari, Coccipolipus epilachnae"
Aca014706,"Acari, Coccipolipus epilachnae"
Aca014707,"Acari, Coccipolipus camerouni"
Aca014708,"Acari, Coccipolipus cooremani"
Aca014709,"Acari, Coccipolipus cooremani"
Aca014710,"Acari, Coccipolipus micraspisi"
Aca014711,"Acari, Coccipolipus africanae"
Aca014712,"Acari, Coccipolipus africanae"
Aca014713,"Acari, Coccipolipus africanae"
Aca014714,"Acari, Coccipolipus chilocor"
Aca014715,"Acari, Coccipolipus chilocor"
Aca014843,"Acari, Afroleius simplex"
Aca014849,"Sarcoptiformes, Afrotocepheus sinarmatus"
Aca014853,"Sarcoptiformes, Africoribates australis"
Aca014869,"Sarcoptiformes, Afrotocepheus sinarmatus|Determined by: S. Mahunka"
Aca014889,"Acari, Afroleius deformis|Determined by: S. Mahunka"
Aca014895,"Sarcoptiformes, Africoribates australis"
Aca014901,"Acari, Afroleius minor"
Aca014903,"Acari, Afroleius deformis"
Aca014906,"Sarcoptiformes, Afrotocepheus sinarmatus"
Aca014916,"Sarcoptiformes, Africoribates australis"
Aca015139,"Acari, Mites"
Aca015149,"Acari, Mites"
Aca015150,"Acari, Mites"
Aca015151,"Acari, Mites"
Aca015755,Acari
Aca015756,Acari
Aca015757,Acari
Aca015758,Acari
Aca015759,Acari
Aca015760,Acari
Aca015761,Acari
Aca015762,Acari
Aca015763,Acari
Aca015764,Acari
Aca015765,Acari
Aca016531,Mites
Aca016614,Tick
Aca021112,Velvet Mite
Aca021263,Acari
Aca021320,Velvet Mite
Aca021581,Acari
Aca022705,Unidentified Mites
Aca022839,Ticks
Aca022841,Ticks
Aca023130,Velvet Mite
Aca023138,"Acari, Mites"
Aca023139,Ticks
Aca023140,Ticks
Aca023141,Ticks
Aca023142,Ticks
Aca023143,Mites
Aca023144,Mites
Aca023145,Mites
Aca023146,Ticks
Aca023147,Ticks
Aca023148,Mites
Aca023149,Mites
Aca023150,Mites
Aca023151,Mites
Aca023152,Mites
