catalogNumber,verbatimDet
Ara003227,"Araneae, Ctenizidae, Stasimopus astatus|Determined by: Hewitt"
Ara003228,"Araneae, Ctenizidae, Stasimopus astatus|Determined by: Hewitt"
Ara003229,"Araneae, Ctenizidae, Stasimopus astatus|Determined by: Hewitt"
Ara003230,"Araneae, Ctenizidae, Stasimopus"
Ara003853,"Araneae, Moggriagea paucispina"
Ara003856,"Araneae, Moggriagea paucispina"
Ara003857,"Araneae, Moggriagea paucispina"
Ara003858,"Araneae, Moggriagea paucispina"
Ara003859,"Araneae, Moggriagea paucispina"
Ara003860,"Araneae, Moggriagea paucispina"
Ara003862,"Araneae, Moggriagea paucispina"
Ara003863,"Araneae, Moggriagea paucispina var near"
Ara003865,"Araneae, Moggriagae paucispina"
Ara003866,"Araneae, Moggriagae paucispina"
Ara003867,"Araneae, Moggriagae paucispina"
Ara003868,"Araneae, Moggriagae paucispina"
Ara003869,"Araneae, Moggriagae paucispina"
Ara003870,"Araneae, Moggriagae paucispina"
Ara003871,"Araneae, Moggriagae paucispina"
Ara003920,"Araneae, Ctenizidae, Stasimopus"
Ara003921,"Araneae, Ctenizidae, Stasimopus"
Ara003922,"Araneae, Ctenizidae, Stasimopus"
Ara003923,"Araneae, Ctenizidae, Stasimopus"
Ara003924,"Araneae, Ctenizidae, Stasimopus"
Ara003925,"Araneae, Ctenizidae, Stasimopus"
Ara003926,"Araneae, Ctenizidae, Stasimopus"
Ara003927,"Araneae, Ctenizidae, Stasimopus"
Ara003928,"Araneae, Ctenizidae, Stasimopus"
Ara003929,"Araneae, Ctenizidae, Stasimopus"
Ara003930,"Araneae, Ctenizidae, Stasimopus"
Ara003931,"Araneae, Ctenizidae, Stasimopus"
Ara003932,"Araneae, Ctenizidae, Stasimopus"
Ara003933,"Araneae, Ctenizidae, Stasimopus"
Ara003934,"Araneae, Idiopidae, Idiops"
Ara003935,"Araneae, Idiopidae, Idiops"
Ara003936,"Araneae, Idiopidae, Idiops"
Ara003937,"Araneae, Idiopidae, Idiops"
Ara003938,"Araneae, Idiopidae, Idiops"
Ara003939,"Araneae, Idiopidae, Idiops"
Ara003940,"Araneae, Idiopidae, Idiops"
Ara003941,"Araneae, Idiopidae, Idiops gunningi"
Ara003942,"Araneae, Idiopidae, Idiops gunningi"
Ara003943,"Araneae, Idiopidae, Idiops pretoriae|Determined by: Poe ?"
Ara003944,"Araneae, Idiopidae, Idiops pretoriae|Determined by: Poe ?"
Ara003945,"Araneae, Idiopidae, Idiops pretoriae|Determined by: Poe ?"
Ara003946,"Araneae, Idiopidae, Idiops|Determined by: Poe ?"
Ara003947,"Araneae, Idiopidae, Idiops pretoriae acanthodon|Determined by: Poe ?"
Ara003948,"Araneae, Idiopidae, Idiops near pretoriae"
Ara003949,"Araneae, Idiopidae, Idiops"
Ara003950,"Araneae, Idiopidae, Idiops pretoriae acanthodon"
Ara003951,"Araneae, Idiopidae, Idiops pretoriae acanthodon"
Ara003952,"Araneae, Idiopidae, Heligmomerus caffer"
Ara003953,"Araneae, Idiopidae, Heligmomerus caffer"
Ara003954,"Araneae, Idiopidae, Heligmomerus caffer"
Ara003955,"Araneae, Idiopidae, Heligmomerus caffer"
Ara003956,"Araneae, Idiopidae, Idiothele crassispina|Determined by: Pure ?"
Ara003957,"Araneae, Idiopidae, Idiothele nigrofulvus"
Ara003958,"Araneae, Idiopidae, Idiothele nigrofulvus|Determined by: ?"
Ara003959,"Araneae, Idiopidae, Idiothele nigrofulvus|Determined by: ?"
Ara003960,"Araneae, Idiopidae, Idiothele nigrofulvus|Determined by: ?"
Ara003961,"Araneae, Idiopidae, Idiothele nigrofulvus|Determined by: ?"
Ara003962,"Araneae, Idiopidae, Idiothele nigrofulvus"
Ara003963,"Araneae, Idiopidae, Idiothele nigrofulvus"
Ara003964,"Araneae, Idiopidae, Idiothele nigrofulvus"
Ara003965,"Araneae, Theraphosidae, Pterinochilus"
Ara003966,"Araneae, Theraphosidae, Pterinochilus"
Ara003967,"Araneae, Theraphosidae, Pterinochilus"
Ara003968,"Araneae, Idiopidae, Pterinochilus"
Ara003969,"Araneae, Idiopidae, Acanthodon mossambicus|Determined by: Hewitt"
Ara003970,"Araneae, Idiopidae, Acanthodon mossambicus|Determined by: Hewitt"
Ara003971,"Araneae, Idiopidae, Acanthodon mossambicus|Determined by: Hewitt"
Ara003972,"Araneae, Idiopidae, Acanthodon mossambicus|Determined by: Hewitt"
Ara003973,"Araneae, Idiopidae, Acanthodon mossambicus|Determined by: Hewitt"
Ara003974,"Araneae, Idiopidae, Acanthodon mossambicus|Determined by: Hewitt"
Ara003975,"Araneae, Idiopidae, Acanthodon mossambicus|Determined by: Hewitt"
Ara003976,"Araneae, Idiopidae, Acanthodon mossambicus|Determined by: Hewitt"
Ara003977,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003978,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003979,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003980,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003981,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003982,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003983,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003984,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003985,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003986,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003987,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003988,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003989,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003990,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003991,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003992,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003993,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003994,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003995,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003996,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003997,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003998,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara003999,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004000,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004001,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004002,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004003,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004004,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004005,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004006,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004007,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004008,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004009,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004010,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004011,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004012,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004013,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004014,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004015,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004016,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004017,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004018,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004019,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004020,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004021,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004022,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004023,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004024,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004025,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004026,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004027,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004028,"Araneae, Idiopidae, Acanthodon microps|Determined by: Hewitt"
Ara004029,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004030,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004031,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004032,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004033,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004034,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004035,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004036,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004037,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004038,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004039,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004040,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004041,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004042,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004043,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004044,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004045,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004046,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004047,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004048,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004049,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004050,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004051,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004052,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004053,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004054,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004055,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004056,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004057,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004058,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004059,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004060,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004061,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004062,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004063,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004064,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004065,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004066,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004067,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004068,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004069,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004070,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004071,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004072,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004073,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004074,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004075,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004076,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004077,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004078,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004079,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004080,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004081,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004082,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004083,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004084,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004085,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004086,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: Hewitt"
Ara004087,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: G. van Dam"
Ara004088,"Araneae, Idiopidae, Acanthodon schreineri var. minor|Determined by: G. van Dam"
Ara004089,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004090,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004091,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004092,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004093,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004094,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004095,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004096,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004097,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004098,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004099,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004100,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004101,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004102,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004103,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004104,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004105,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004106,"Araneae, Idiopidae, Acanthodon hamiltoni|Determined by: Poe ?"
Ara004107,"Araneae, Idiopidae, Acanthodon crudeni|Determined by: Hewitt"
Ara004108,"Araneae, Idiopidae, Acanthodon crudeni|Determined by: Hewitt"
Ara004109,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004110,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004111,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004112,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004113,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004114,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004115,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004116,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004117,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004118,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004119,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004120,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004121,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004122,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004123,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004124,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004125,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004126,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004127,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004128,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004129,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004130,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004131,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Hewitt"
Ara004132,"Araneae, Idiopidae, Acanthodon oomi|Determined by: Hewitt"
Ara004133,"Araneae, Idiopidae, Acanthodon oomi|Determined by: Hewitt"
Ara004134,"Araneae, Idiopidae, Acanthodon oomi crudeni|Determined by: Hewitt"
Ara004135,"Araneae, Idiopidae, Acanthodon oomi crudeni|Determined by: Hewitt"
Ara004136,"Araneae, Idiopidae, Acanthodon oomi crudeni|Determined by: Hewitt"
Ara004137,"Araneae, Idiopidae, Acanthodon oomi|Determined by: Hewitt"
Ara004138,"Araneae, Idiopidae, Acanthodon oomi|Determined by: Hewitt"
Ara004139,"Araneae, Idiopidae, Acanthodon oomi|Determined by: Hewitt"
Ara004140,"Araneae, Idiopidae, Acanthodon oomi|Determined by: Hewitt"
Ara004141,"Araneae, Idiopidae, Acanthodon oomi|Determined by: Hewitt"
Ara004142,"Araneae, Idiopidae, Acanthodon oomi|Determined by: Hewitt"
Ara004143,"Araneae, Idiopidae, Acanthodon oomi|Determined by: Hewitt"
Ara004145,"Araneae, Idiopidae, Acanthodon oomi|Determined by: Hewitt"
Ara004146,"Araneae, Idiopidae, Acanthodon grandis|Determined by: Hewitt"
Ara004147,"Araneae, Idiopidae, Acanthodon grandis"
Ara004148,"Araneae, Idiopidae, Acanthodon grandis"
Ara004149,"Araneae, Idiopidae, Acanthodon grandis"
Ara004150,"Araneae, Idiopidae, Acanthodon grandis"
Ara004151,"Araneae, Idiopidae, Acanthodon grandis"
Ara004152,"Araneae, Idiopidae, Acanthodon grandis"
Ara004153,"Araneae, Idiopidae, Acanthodon grandis"
Ara004154,"Araneae, Idiopidae, Acanthodon grandis"
Ara004155,"Araneae, Idiopidae, Acanthodon grandis"
Ara004156,"Araneae, Idiopidae, Acanthodon grandis"
Ara004157,"Araneae, Idiopidae, Acanthodon grandis"
Ara004158,"Araneae, Idiopidae, Acanthodon grandis"
Ara004159,"Araneae, Idiopidae, Acanthodon grandis"
Ara004160,"Araneae, Idiopidae, Acanthodon grandis"
Ara004161,"Araneae, Idiopidae, Acanthodon grandis"
Ara004162,"Araneae, Idiopidae, Acanthodon grandis"
Ara004163,"Araneae, Idiopidae, Acanthodon grandis"
Ara004164,"Araneae, Idiopidae, Acanthodon grandis"
Ara004165,"Araneae, Idiopidae, Acanthodon grandis"
Ara004166,"Araneae, Idiopidae, Acanthodon grandis"
Ara004167,"Araneae, Idiopidae, Acanthodon grandis"
Ara004168,"Araneae, Idiopidae, Acanthodon grandis"
Ara004169,"Araneae, Idiopidae, Acanthodon grandis"
Ara004170,"Araneae, Idiopidae, Acanthodon grandis"
Ara004171,"Araneae, Idiopidae, Acanthodon grandis"
Ara004172,"Araneae, Idiopidae, Acanthodon grandis"
Ara004173,"Araneae, Idiopidae, Acanthodon grandis"
Ara004174,"Araneae, Idiopidae, Acanthodon grandis"
Ara004175,"Araneae, Idiopidae, Acanthodon spirieola"
Ara004176,"Araneae, Idiopidae, Acanthodon spirieola"
Ara004177,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004178,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004179,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004180,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004181,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004182,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004183,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004184,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004185,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004186,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004187,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004188,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004189,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004190,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004191,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004192,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004193,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004194,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004195,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004196,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004197,"Araneae, Idiopidae, Acanthodon flaveolum|Determined by: Poc. ?"
Ara004198,"Araneae, Idiopidae, Acanthodon flaveolum crudeni"
Ara004199,"Araneae, Idiopidae, Acanthodon flaveolum crudeni"
Ara004200,"Araneae, Idiopidae, Acanthodon flaveolum crudeni"
Ara004201,"Araneae, Idiopidae, Acanthodon flaveolum crudeni"
Ara004202,"Araneae, Idiopidae, Acanthodon flaveolum crudeni"
Ara004203,"Araneae, Idiopidae, Acanthodon flaveolum crudeni"
Ara004204,"Araneae, Idiopidae, Acanthodon flaveolum crudeni"
Ara004205,"Araneae, Idiopidae, Acanthodon paucispinilosum"
Ara004206,"Araneae, Idiopidae, Acanthodon paucispinilosum"
Ara004207,"Araneae, Idiopidae, Acanthodon paucispinilosum"
Ara004208,"Araneae, Idiopidae, Acanthodon paucispinilosum"
Ara004209,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004210,"Araneae, Idiopidae, Acanthodon monticola|Determined by: Hewitt"
Ara004211,"Araneae, Idiopidae, Acanthodon|Determined by: Hewitt"
Ara004212,"Araneae, Idiopidae, Acanthodon|Determined by: Hewitt"
Ara004213,"Araneae, Idiopidae, Acanthodon|Determined by: Hewitt"
Ara004214,"Araneae, Idiopidae, Acanthodon|Determined by: Hewitt"
Ara004215,"Araneae, Idiopidae, Acanthodon|Determined by: Hewitt"
Ara004216,"Araneae, Idiopidae, Acanthodon pectinipalpis|Determined by: Prob. ?"
Ara004217,"Araneae, Idiopidae, Acanthodon near abrahami|Determined by: A. Roberts"
Ara004218,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Prob. ?"
Ara004219,"Araneae, Idiopidae, Acanthodon transvaalensis|Determined by: Prob. ?"
Ara004220,"Araneae, Idiopidae, Acanthodon"
Ara004221,"Araneae, Idiopidae, Acanthodon"
Ara004222,"Araneae, Idiopidae, Acanthodon"
Ara004223,"Araneae, Idiopidae, Acanthodon"
Ara004224,"Araneae, Idiopidae, Acanthodon"
Ara004225,"Araneae, Idiopidae, Acanthodon"
Ara004226,"Araneae, Idiopidae, Acanthodon"
Ara004227,"Araneae, Idiopidae, Acanthodon"
Ara004228,"Araneae, Idiopidae, Acanthodon"
Ara004229,"Araneae, Idiopidae, Acanthodon"
Ara004230,"Araneae, Idiopidae, Acanthodon"
Ara004231,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004232,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004233,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004234,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004235,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004236,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004237,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004238,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004239,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004240,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004241,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004242,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004243,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004244,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004245,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004246,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004247,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004248,"Araneae, Cyrtaucheniidae, Ancylotrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004249,"Araneae, Cyrtaucheniidae, Ancyloptrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004250,"Araneae, Cyrtaucheniidae, Ancyloptrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004251,"Araneae, Cyrtaucheniidae, Ancyloptrypa nuda|Determined by: A. Dippenaar-Schoeman"
Ara004252,"Araneae, Segestriidae, Ariadna sp.|Determined by: Hewitt"
Ara004253,"Araneae, Cyrtaucheniidae, Ancyloptrypa pretoriae|Determined by: A. Dippenaar-Schoeman"
Ara004254,"Araneae, Cyrtaucheniidae, Ancylotrypa pretoriae|Determined by: A. Dippenaar-Schoeman"
Ara004255,"Araneae, Cyrtaucheniidae, Ancylotrypa pretoriae|Determined by: A. Dippenaar-Schoeman"
Ara004256,"Araneae, Cyrtaucheniidae, Ancylotrypa pretoriae|Determined by: A. Dippenaar-Schoeman"
