taxonid,fullname,Author
2101,Cardium ringens,
2102,Cardium rubicundum,
2104,Cardium ruthenicum,
2106,Cardium setosum,
2107,Cardium substriatum,
2109,Cardium turtoni,
2110,Cardium unedo,
2111,Carinodrillia haliplexa,
2112,Carunculina parva,
2113,Casmaria erinaceus,
2115,Cassidaria echinophora,
2119,Cassis bicarinata,
2123,Cassis granulatum,
2125,Cassis rufa,
2126,Cassis rugosa,
2130,Cassis zeylanica,
2135,Cavolinia trispinosa,
2137,Cecilioides gokweanus,
2139,Cellana argentatus,
2146,Scutellastra laticostata,
2151,Cellana redimiculum,
2159,Cepolis bonplande,
2161,Cerion alveare,
2163,Cerion dalli,
2164,Cerion importeil,
2167,Cerion mayardi,
2168,Cerion melanostomum,
2169,Cerion mumea,
2172,Cerion saloutori,
2180,Cerithidea negewischi,
2185,Cerithidiopsis fluviatilis,
2188,Cerithiopsis litteratum,
2190,Cerithium alexandri,
2191,Cerithium algicola,
2194,Cerithium articulatum,
2197,Cerithium bifasciatum,
2199,Cerithium chemnitzianum,
2202,Cerithium corallinum,
2209,Cerithium fulgata,
2210,Cerithium humilis,
2211,Cerithium irroratum,
2212,Cerithium literatum,
2214,Cerithium moniliferum,
2216,Cerithium muscarium,
2223,Cerithium sculptum,
2226,Cerithium tortulosus,
2229,Cerithium variabile,
2231,Cerithium vertagus,
2239,Chama cristata,
2240,Chama fibula,
2242,Chama iostoma,
2247,Chama pulchella,
2248,Chambardia petersi,
2251,Charis bicolor,
2253,Charonia capax,
2258,Charonia rubicunda,
2262,Charopa anguiculus,
2265,Charopa costulifera,
2271,Chicoreus bicolor,
2275,Chicoreus extraneous,
2277,Chicoreus foliatus,
2278,Chicoreus laciniatus,
2281,Chicoreus permesta,
2285,Chicoreus regius,
2287,Chicoreus stainforthi,
2291,Chione antapurpurea,
2295,Chione granulata,
2296,Chione guidia,
2298,Chione pectorina,
2299,Chione pubers,
2302,Radsia nigrovirescens,
2309,Chlamys aktinos,
2312,Chlamys circularis,
2314,Chlamys delicatula,
2316,Chlamys farreri,
2317,Chlamys flabellum,
2318,Chlamys fultoni,
2319,Chlamys gibbus,
2320,Chlamys gloriosa,
2322,Chlamys humilis,
2323,Chlamys irradians,
2325,Chlamys lemniscata,
2326,Chlamys leopardus,
2327,Chlamys lividus,
2329,Chlamys noblis,
2330,Chlamys nodosus,
2331,Chlamys opercularis,
2332,Chlamys pallium,
2333,Chlamys senatoria,
2334,Chlamys sentis,
2335,Chlamys septemradiatus,
2336,Chlamys squamata,
2338,Chlamys suprasilis,
2339,Chlamys swifti,
2340,Chlamys tigerina,
2342,Chlamys varia,
2343,Chlamys varius,
2344,Chlamys weberi,
2345,Chloritis radomphala,
2346,Chlorostoma nigerrima,
2347,Chondrocyclus alabastris,
2348,Chondrocyclus amathole,
2351,Chondrocyclus cooperae,
2352,Chondrocyclus devilliersi,
2354,Chondrocyclus herberti,
2356,Chondrocyclus kevincolei,
2357,Chondrocyclus langebergensis,
2358,Chondrocyclus meredithae,
2360,Chondrocyclus pondoensis,
2361,Chondrocyclus pulcherrimus,
2362,Chondrocyclus putealis,
2363,Chondrocyclus silvicolus,
2364,Chondrocyclus trifimbriatus,
2394,Clathrodrillia incisa,
2395,Clathrus clathrus,
2396,Clausilia septemplicata,
2398,Clavatula lobatopsis,
2411,Clionella taxea,
2412,Clionella tripartita,
2413,Clithon brevispina,
2414,Clithon corona,
2415,Clithon oualaniensis,
2416,Clivipollia fragaria,
2417,Closia algoensis,
2418,Closia aphanospira,
2419,Closia ovuliformis,
2421,Clypeomorus moniliferus,
2428,Cochlitoma bandeirana,
2429,Cochlitoma damarensis,
2430,Cochlitoma dimidiata,
2431,Cochlitoma fulica,
2432,Cochlitoma granularis,
2433,Cochlitoma immaculata,
2434,Cochlitoma kilburni,
2435,Cochlitoma limitanea,
2436,Cochlitoma machachensis,
2437,Cochlitoma semidecussata,
2438,Cochlitoma semigranosa,
2439,Cochlitoma ustulata,
2441,Cochlitoma vestita,
2442,Cochlitoma wigleyi,
2444,Codakia californica,
2445,Codakia divergens,
2447,Codakia myifera,
2452,Codakia similis,
2453,Codakia simplex,
2454,Codakia tigrina,
2460,Colina pingue,
2465,Colubraria alfredensis,
2474,Columbarium eastwoodae,
2477,Columbarium radiale,
2478,Columbarium rotundum,
2479,Columbella albuginosa,
2480,Columbella algoensis,
2485,Columbella brunnescens,
2486,Columbella choava,
2489,Columbella floccata,
2491,Columbella kraussi,
2493,Columbella lincolnensis,
2501,Columbella semiconvexa,
2503,Columbella speciosa,
2510,Columbella zebrina,
2516,Cominella alveolata,
2522,Cominella kingicola,
2531,Comus platyaulax,
2534,Conus abbreviatus,
2535,Conus achatinus,
2536,Conus acutangulus,
2537,Conus aemulus,
2538,Conus algoensis,
2539,Conus amadis,
2540,Conus anemone,
2547,Conus bairstowi,
2548,Conus betulinus,
2549,Conus biliosus,
2550,Conus brianhayesi,
2551,Conus brunneus,
2552,Conus californicus,
2554,Conus capitaneus,
2555,Conus caputserpentis,
2556,Conus catus,
2559,Conus cyanostoma,
2560,Conus distans,
2561,Conus ebraeus,
2563,Conus ermineus,
2564,Conus eucoronatus,
2565,Conus figulinus,
2566,Conus flavidus,
2567,Conus floridanus,
2568,Conus frigidus,
2569,Conus fulmen,
2570,Conus furvus,
2571,Conus generalis,
2572,Conus geographus,
2573,Conus gladiator,
2574,Conus glans,
2576,Conus gradatulus,
2577,Conus gubernator,
2578,Conus immelmani,
2579,Conus imperialis,
2580,Conus infrenatus,
2581,Conus iodostoma,
2582,Conus ione,
2583,Conus janus,
2586,Conus legatus,
2588,Conus litoglyphus,
2589,Conus litteratus,
2590,Conus lividus,
2591,Conus lohri,
2592,Conus magnificus,
2594,Conus maldivus,
2596,Conus miles,
2597,Conus miliaris,
2598,Conus milneedwardsi,
2600,Conus monachus,
2601,Conus monile,
2602,Conus mozambicus,
2603,Conus muriculatus,
2604,Conus mus,
2605,Conus musicus,
2606,Conus mustelinus,
2607,Conus namocanus,
2608,Conus natalis,
2609,Conus nimbosus,
2610,Conus nussatella,
2612,Conus orbignyi,
2613,Conus papilliferus,
2615,Conus patricius,
2618,Conus perplexus,
2619,Conus philippii,
2620,Conus pictus,
2621,Conus platyaulax,
2623,Conus pulcher,
2624,Conus pulicarius,
2625,Conus puncticulatus,
2626,Conus purpurascens,
2629,Conus rattus,
2631,Conus retifer,
2632,Conus sanguinolentus,
2634,Conus scalptus,
2635,Conus scittulus,
2637,Conus sennottorum,
2638,Conus sieboldii,
2639,Conus simplex,
2640,Conus sponsalis,
2642,Conus stearnsii,
2644,Conus striatus,
2647,Conus suturatus,
2648,Conus teramachii,
2649,Conus tessulatus,
2650,Conus textile,
2652,Conus tinianus,
2653,Conus tornatus,
2654,Conus tulipa,
2655,Conus typhon,
2659,Conus vexillum,
2660,Conus victoriae,
2662,Conus virgo,
2663,Conus vittatus,
2665,Conus ximenes,
2666,Conus zeylanicus,
2668,Coralliobia neritoidea,
2669,Coralliobia violacea,
2691,Cotonopsis turturina,
2692,Couthouyia mzambana,
2693,Couthouyia pasithea,
2695,Crassatella burnupi,
2696,Crassatella foveolata,
2697,Crassatella verconis,
2698,Crassatina crebilirata,
2699,Crassatina sowerbyi,
2705,Crassispira layardi,
2709,Crassostrea arborea,
2713,Crenavolva rosewateri,
2719,Crepidula immersa,
2727,Cronia fenestrata,
2728,Cronia heptagonalis,
2729,Cronia margariticola,
2730,Cronia marginatra,
2731,Cronia nodosa,
2732,Cronia ochrostoma,
2745,Curvella majubana,
2746,Curvella succinea,
2748,Cyathopoma camerunense,
2753,Cyclonassa neritea,
2757,Cyclostoma ligatum,
2761,Cylichnella smithi,
2764,Ranularia boschi,
2770,Cymatium cynocephalum,
2771,Ranularia dunkeri,
2774,Cymatium gemmatum,
2776,Cymatium hepaticum,
2785,Cymatium pyrum,
2786,Ranularia retusum,
2787,Cymatium rubeculum,
2788,Cymatium spengleri,
2789,Cymatium trilineatum,
2791,Cymatium waterhousei,
2795,Cymbiola hunteri,
2799,Cymbiola norrissi,
2810,Cymia carinifera,
2811,Cynisca alfredensis,
2812,Cynisca forticostata,
2813,Cynisca granulosa,
2814,Cyphoma gibbosa,
2816,Schilderia achatidea,
2818,Cypraeovula alfredensis,
2821,Notocypraea angustata,
2826,Arestorides argus,
2832,Monetaria caputdraconis,
2835,Cypraea carolinensis,
2836,Erronea caurica,
2839,Macrocypraea cervus,
2841,Pustularia cicercula,
2844,Cypraea coffea,
2849,Cribrarula cribraria,
2850,Cypraeovula cruickshanki,
2851,Erronea cylindrica,
2852,Zoila decipiens,
2855,Cryptocypraea dillwyni,
2864,Zoila friendii,
2868,Naria gangranosa,
2872,Cypraea helvola,
2874,Umbilia hesitata,
2884,Luria lurida,
2887,Cypraea macula,
2892,Cypraeovula mikeharti,
2894,Muracypraea mus,
2895,Naria nebrites,
2899,Erronea onyx,
2900,Erronea ovum,
2902,Erronea pallida,
2906,Cypraea pustularia,
2907,Zonaria pyrum,
2912,Naria spurca,
2913,Staphylaea staphylaea,
2914,Trona stercoraria,
2915,Bistolida stolida,
2916,Erronea subviridis,
2917,Talparia talpa,
2919,Luria tessellata,
2921,Zoila thersites,
2928,Erronea xanthodon,
2931,Cypraea zietsmani,
2944,Cythara dagama,
2945,Daphnella angusta,
2948,Daphnella sulcata,
2949,Decatopecten bifrons,
2950,Decatopecten caroli,
2952,Decatopecten striatus,
2960,Dendropoma formosus,
2961,Dendropoma irregularis,
2962,Dendropoma natalensis,
2963,Dendropoma nigricans,
2964,Dendropoma spirata,
2966,Dentalium entalis,
2967,Dentalium eualdes,
2968,Dentalium inversum,
2969,Dentalium longitrorsum,
2974,Dentalium vernedei,
2980,Dicaltion orbita,
2981,Dicaltion scalaris,
2982,Dicathais scalaris,
2988,Diodora audax,
3006,Diplodonta globularis,
3016,Divaricella cumingi,
3017,Divaricella dalliana,
3033,Donax maculata,
3047,Dorcasia jejmia,
3048,Dorcasia rogersi,
3060,Dosinia juvensis,
3061,Dosinia lincta,
3062,Dosinia lupinus,
3065,Dosinula zelandica,
3071,Drillia fultoni,
3077,Drupa anaxares,
3078,Drupa aspera,
3079,Drupa biconica,
3080,Drupa cornus,
3081,Drupa decollata,
3082,Drupa ferruginosa,
3083,Drupa fiscella,
3085,Drupa granulata,
3092,Drupa nodulosa,
3093,Drupa porphrostoma,
3096,Drupa serrialis,
3097,Drupa uva,
3099,Drupella elata,
3100,Drupella mancinella,
3102,Drupella spectrum,
3105,Euterebra capensis,
3107,Duplicaria dussumieri,
3114,Echininus nodulosus,
3119,Electroma georgiana,
3122,Elisolimax flavescens,
3123,Elliptio complanatus,
3124,Elliptio coruscus,
3126,Elliptio dilatatus,
3132,Emozamia flindersi,
3133,Endodonta whileleggei,
3134,Engina billeheusti,
3145,Ephippodonta macdougalli,
3151,Epitonium bullatum,
3153,Epitonium cirsotrema,
3155,Epitonium commutatum,
3158,Epitonium durbanense,
3160,Epitonium georgetlina,
3170,Epitonium perplexum,
3180,Epitonium tongaatense,
3183,Erato vitellina,
3197,Euchelus atratus,
3203,Eudolium pyriforme,
3204,Eudolium pyriformis,
3206,Euhadra amaliae,
3208,Euhadra hickons,
3210,Euhadra sechenbergiana,
3211,Eulima algoensis,
3212,Eulima becki,
3213,Eulima dilecta,
3216,Eulima insignis,
3217,Eulima natalensis,
3219,Eulima vitrea,
3221,Eumarcia kochi,
3224,Euonyma barnadi,
3225,Euonyma cacuminata,
3226,Euonyma decipiens,
3229,Euonyma natalensis,
3231,Euonyma purcelli,
3234,Euonyma turriformis,
3239,Eupleura plicatula,
3241,Euruthria ponsobyi,
3244,Euthria ponsonbyi,
3245,Euthria queketti,
3246,Fasciolaria australasia,
3247,Fasciolaria coronata,
3248,Fasciolaria filamentosa,
3251,Kilburnia heynemanni,
3256,Fasciolaria rutila,
3258,Fasciolaria trapezium,
3261,Fassarus inflatus,
3264,Fauxulus kurrii,
3269,Anisoloma squat,
3277,Ficus decussatus,
3280,Ficus subintermedius,
3294,Flavamussium caducum,
3297,Fossaria modicella,
3298,Fragum medium,
3300,Fukama perfecta,
3301,Fulgoraria delicata,
3303,Fulvia papyracea,
3304,Fuscinus herithaini,
3305,Fusconaia ebenus,
3307,Fusconaia rubida,
3308,Fusconaia undata,
3321,Fusinus faurei,
3323,Fusinus longicauda,
3324,Fusinus nicobaricus,
3325,Fusinus niponicus,
3330,Fusinus rubrolineatus,
3332,Fusinus simplex,
3335,Fusinus toreuma,
3336,Fusinus tubercularis,
3337,Fusinus verruculatus,
3352,Gari hodgei,
3360,Gemmula deshayesii,
3363,Gemmula unedo,
3365,Gena planulata,
3366,Gena varia,
3376,Gibbula richardi,
3378,Gibbula umbilicatis,
3382,Gittenedouardia conulus,
3384,Gittenedouardia drakensbergensis,
3385,Gittenedouardia meridionalis,
3387,Gittenedouardia sordidula,
3391,Glaucus connollyi,
3394,Glycymeris flabellatus,
3396,Glycymeris fossar,
3406,Glycymeris violaceus,
3407,Glyptenthira accuminata,
3409,Gomphina veneriformis,
3410,Goniobasis liniescens,
3411,Goniobasis liviescens,
3412,Goniobasis ozarkensis,
3413,Goniobasis potosiensis,
3414,Goniobasis virginica,
3416,Granula bensoni,
3417,Granula burnupi,
3418,Granula differens,
3422,Granulina thalia,
3424,Gregariella rietensis,
3427,Gulella aliciae,
3428,Gulella appletoni,
3431,Gulella bomvana,
3433,Gulella bruggeni,
3434,Gulella cairnsi,
3435,Gulella calopasa,
3436,Gulella caryatis,
3437,Gulella chi,
3439,Gulella collicola,
3440,Gulella columnella,
3441,Gulella connollyi,
3442,Gulella consobrina,
3443,Gulella contraria,
3446,Gulella davisae,
3447,Gulella delicatula,
3450,Gulella drakensbergensis,
3451,Gulella elliptica,
3452,Gulella euthymia,
3453,Gulella falconi,
3456,Gulella framesi,
3459,Gulella hadroglossa,
3460,Gulella hamerae,
3461,Gulella harriesi,
3463,Gulella himerothales,
3464,Gulella incurvidens,
3469,Gulella johannae,
3470,Gulella johannesburgensis,
3471,Gulella juxtidens,
3472,Gulella kosiensis,
3474,Gulella latimerae,
3475,Gulella magnolia,
3477,Gulella maritzburgensis,
3478,Gulella melvilli,
3480,Gulella mfongosiensis,
3482,Gulella mooiensis,
3484,Gulella munita,
3486,Gulella nepia,
3487,Gulella newmani,
3489,Gulella obstructa,
3490,Gulella orientalis,
3491,Gulella penningtoni,
3492,Gulella pentheri,
3495,Gulella phragma,
3498,Gulella polita,
3499,Gulella pondoensis,
3501,Gulella premnodes,
3503,Gulella queketti,
3504,Gulella regularis,
3506,Gulella rumpiana,
3508,Gulella separata,
3509,Gulella sibasana,
3510,Gulella swaziensis,
3513,Gulella tietzae,
3515,Gulella tripodium,
3516,Gulella umzimvubuensis,
3517,Gulella verdcourti,
3518,Gulella viae,
3519,Gulella warrenii,
3520,Gulella zelota,
3521,Guraleus eucosmia,
3522,Gyrineum bitubercularis,
3530,Haliotis assimilis,
3532,Haliotis camchattana,
3534,Haliotis conicopora,
3536,Haliotis cracherodii,
3540,Haliotis emmae,
3558,Haliotis sieboldii,
3561,Haliotis speciosa,
3586,Hastula lauta,
3587,Impages maryleeae,
3588,Hastula natalensis,
3591,Hastula strigilata,
3597,Helcion infundibuliformis,
3601,Heliacus africanus,
3613,Helisoma macrostomum,
3615,Helix aspersa,
3616,Helix hortensia,
3618,Helix lapicida,
3619,Helix melantozona,
3620,Helix planulata,
3621,Helix sophiae,
3622,Hemicardium cardissa,
3623,Hemicardium hemicardium,
3624,Hemifusus pugilinus,
3627,Hemifusus wardiana,
3628,Hemitrochus varians,
3631,Herse columnella,
3638,Hexaplex hoplites,
3639,Hexaplex octogonus,
3649,Hindsia gracilis,
3650,Hinitia pallida,
3652,Hinnites giganteus,
3668,Hustolima nimbifera,
3669,Hyalina avena,
3670,Hyalina biannulata,
3671,Hyalina capensis,
3676,Hyalina melita,
3677,Hyalina neglecta,
3679,Hyalina veliei,
3680,Hydatina amplustre,
3688,Hyotissa numisma,
3690,Hyria corrugata,
3691,Hyridella menziesi,
3696,Indocrassatella abrupta,
3698,Iravadia annulata,
3699,Iridina pfeifferiana,
3701,Chambardia wahlbergi,
3719,Jaton folata,
3720,Jaton nuttalli,
3723,Kaliella euconuloides,
3724,Kanekotrochus comtess,
3725,Katelysia corrugata,
3732,Kerkophorus piperatus,
3736,Labiosa plicatella,
3742,Laevicaulis alte,
3746,Lambis digitata,
3753,Lampsilis claibornensis,
3754,Lampsilis fallaciosa,
3757,Lampsilis ventricosa,
3758,Lamya capensis,
3759,Lanistes occidentalis,
3770,Latiaxis japonicus,
3771,Latiaxis kawamurai,
3772,Latiaxis lischkeanus,
3774,Latiaxis nakamigawai,
3777,Latirus bairstowi,
3779,Latirus cariniferus,
3780,Latirus ceratus,
