catNum,dup
14671,Sco014671
14788,Ara014788
14788,DDD014788
14861,DDD014861
14861,Sar014861
14921,Ara014921
14921,Sol014921
14929,DDD014929
14929,Sco014929
14930,DDD014930
14930,Sco014930
14931,DDD014931
14931,Sco014931
14936,Lpa014936
14936,LPb014936
14936,Sco014936
15084,DDD015084
15084,Sco015084
15100,DDD015100
15100,Sco015100
15101,DDD015101
15101,Sco015101
15102,DDD015102
15102,Sco015102
15103,DDD015103
15103,Sco015103
15104,DDD015104
15104,Sco015104
15153,Ara015153
15153,Sol015153
15694,Ara015694
15694,DDD015694
15695,Ara015695
15695,DDD015695
15796,Mil015796
15796,Sco015796
16251,DDD016251
16251,Mil016251
16270,Ara016270
16270,Sol016270
16451,Cen016451
16451,DDD016451
16505,Ara016505
16505,Sol016505
16510,Ara016510
16510,Sol016510
16614,Aca016614
16614,DDD016614
16615,aaa016615
16615,DDD016615
16616,aaa016616
16616,DDD016616
16617,aaa016617
16617,DDD016617
16618,aaa016618
16618,DDD016618
16619,aaa016619
16619,DDD016619
16620,aaa016620
16620,DDD016620
16621,DDD016621
16621,INV016621
16622,aaa016622
16622,DDD016622
16623,aaa016623
16623,DDD016623
16624,DDD016624
16624,INV016624
16625,aaa016625
16625,DDD016625
16626,aaa016626
16626,DDD016626
16627,aaa016627
16627,DDD016627
16628,aaa016628
16628,DDD016628
16629,aaa016629
16629,DDD016629
16834,DDD016834
16834,Mil016834
16835,DDD016835
16835,Pil016835
16982,Cen016982
16982,Sco016982
17053,Ara017053
17053,Sol017053
17191,DDD017191
17191,Sco017191
17192,DDD017192
17192,Sco017192
17261,Lpa017261
17261,LPb017261
17262,Lpa017262
17262,LPb017262
17313,DDD017313
17313,Sco017313
17314,DDD017314
17314,Sco017314
17315,DDD017315
17315,Sco017315
17316,DDD017316
17316,Sco017316
17317,DDD017317
17317,Sco017317
17318,DDD017318
17318,Sco017318
17319,DDD017319
17319,Sco017319
17320,DDD017320
17320,Sco017320
17321,DDD017321
17321,Sco017321
17322,DDD017322
17322,Sco017322
17323,DDD017323
17323,Sco017323
17324,DDD017324
17324,Sco017324
17325,DDD017325
17325,Sco017325
17326,DDD017326
17326,Sco017326
17327,DDD017327
17327,Sco017327
17328,DDD017328
17328,Sco017328
17434,DDD017434
17434,Sco017434
17435,DDD017435
17435,Sco017435
17436,DDD017436
17436,Sco017436
17437,DDD017437
17437,Sco017437
17438,DDD017438
17438,Sco017438
17439,DDD017439
17439,Sco017439
17508,Lpa017508
17508,LPb017508
17531,DDD017531
17531,Sco017531
17532,DDD017532
17532,Sco017532
17533,DDD017533
17533,Sco017533
17534,DDD017534
17534,Sco017534
17535,DDD017535
17535,Sco017535
17536,DDD017536
17536,Sco017536
17537,DDD017537
17537,Sco017537
17538,Ara017538
17538,DDD017538
17539,Ara017539
17539,DDD017539
17540,DDD017540
17540,Sco017540
17665,Lpa017665
17665,LPb017665
17665,Sco017665
17949,DDD017949
17949,Sco017949
17950,DDD017950
17950,Sco017950
17951,DDD017951
17951,Sco017951
17952,DDD017952
17952,Sco017952
18441,Ara018441
18441,DDD018441
18442,Ara018442
18442,DDD018442
18573,Ara018573
18573,DDD018573
18574,Ara018574
18574,DDD018574
18576,Ara018576
18576,DDD018576
18577,Ara018577
18577,DDD018577
18578,Ara018578
18578,DDD018578
18579,Ara018579
18579,DDD018579
18580,Ara018580
18580,DDD018580
18581,Ara018581
18581,DDD018581
18582,Ara018582
18582,DDD018582
18583,Ara018583
18583,DDD018583
18584,Ara018584
18584,DDD018584
18745,Ara018745
18745,Sco018745
18857,Ara018857
18857,Sco018857
18953,Ara018953
18953,Sco018953
19231,Ara019231
19231,DDD019231
19286,Ara019286
19286,DDD019286
19287,Ara019287
19287,DDD019287
19288,Ara019288
19288,DDD019288
19289,Ara019289
19289,DDD019289
19290,Ara019290
19290,DDD019290
19291,Ara019291
19291,DDD019291
19292,Ara019292
19292,DDD019292
19397,Ara019397
19397,DDD019397
19427,Ara019427
19427,DDD019427
19465,DDD019465
19465,Sco019465
19466,DDD019466
19466,Sco019466
19521,Ara019521
19521,DDD019521
19676,Ara019676
19676,Sol019676
19835,DDD019835
19835,Sco019835
19836,DDD019836
19836,Sco019836
19837,DDD019837
19837,Sco019837
19838,DDD019838
19838,Sco019838
19839,DDD019839
19839,Sco019839
19840,DDD019840
19840,Sco019840
19841,DDD019841
19841,Sco019841
19842,DDD019842
19842,Sco019842
19843,DDD019843
19843,Sco019843
19844,DDD019844
19844,Sco019844
19845,DDD019845
19845,Sco019845
19846,DDD019846
19846,Sco019846
19847,DDD019847
19847,Sco019847
19848,DDD019848
19848,Sco019848
19849,DDD019849
19849,Sco019849
19850,DDD019850
19850,Sco019850
19859,Sco019859
19859,Sol019859
19938,Ara019938
19938,Sol019938
20126,Lpa020126
20126,LPb020126
20126,Sco020126
20159,Sco020159
20159,Sol020159
20177,Lpa020177
20177,LPb020177
20177,Sco020177
20236,DDD020236
20236,Sco020236
20243,Lpa020243
20243,LPb020243
20244,DDD020244
20244,Sco020244
20251,DDD020251
20251,Sco020251
20296,Lpa020296
20296,LPb020296
20304,DDD020304
20304,Sco020304
20305,DDD020305
20305,Sco020305
20306,DDD020306
20306,Sco020306
20357,DDD020357
20357,Sco020357
20368,Lpa020368
20368,LPb020368
20368,Sco020368
20524,DDD020524
20524,Mil020524
20525,DDD020525
20525,Mil020525
21075,Sco021075
21075,Sol021075
21313,Ara021313
21313,Sco021313
21314,Ara021314
21314,Sco021314
21547,Ara021547
21547,Sol021547
21803,Lpa021803
21803,LPb021803
21803,Sco021803
23232,Aca023232
23232,Ara023232
23499,Ara023499
23499,Sco023499
