taxonid,fullname,currentAuthor,suggestedAuthor,source
2402,Clionella bornii,"E.A. Smith, 1877","(E. A. Smith, 1877)",Catalogue of Life
2403,Clionella confusa,"E.A. Smith, 1906","E. A. Smith, 1906",Catalogue of Life
2404,Clionella kraussii,"(E.A. Smith, 1877)","(E. A. Smith, 1877)",Catalogue of Life
2405,Clionella rosaria,"(L.A. Reeve, 1846)","(Reeve, 1846)",Catalogue of Life
2406,Clionella semicostata,"(L.C. Kiener, 1840)","(Kiener, 1839)",Catalogue of Life
2407,Clionella sinuata,"Born, 1780","(Born, 1778)",Catalogue of Life
2408,Clionella striolata,"W.H. Turton, 1932","W. H. Turton, 1932",Catalogue of Life
2409,Clionella subcontracta,"(E.A. Smith, 1904)","(E. A. Smith, 1904)",Catalogue of Life
2410,Clionella subventricosa,"(E.A. Smith, 1877)","(E. A. Smith, 1877)",Catalogue of Life
2420,Clypeomorus brevis,"(J.R.C. Quoy & J.P. Gaimard, 1834)","(Quoy & Gaimard, 1834)",Catalogue of Life
2422,Clypeomorus petrosa,"(W. Wood, 1828)","(W. Wood, 1828)",Catalogue of Life
2423,Clypeomorus tuberculatus,"C. Linnaeus, 1767","(Linnaeus, 1767)",WoRMS
2424,Montfortula pulchra,"A. Adams, 1851","(A. Adams, 1852)",Catalogue of Life
2425,Montfortula rugosa,"(J.R.C. Quoy & J.P. Gaimard, 1834)","(Quoy & Gaimard, 1834)",Catalogue of Life
2426,Cochlicella barbara,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2427,Cochlicopa lubricella,"(E.A. Rossmässler, 1834)","(Porro, 1838)",Catalogue of Life
2440,Cochlitoma varicosa,"(Pfeiffer, 1861)","(L. Pfeiffer, 1861)",Catalogue of Life
2443,Cochlitoma zebra,"(Bruguiere, 1792)","(Bruguière, 1792)",Catalogue of Life
2446,Codakia interrupta,"(J.B.P.A. Lamarck, 1818)","(Lamarck, 1818)",Catalogue of Life
2448,Codakia orbicularis,"Linnaeus, 1758","(Linnaeus, 1758)",Catalogue of Life
2449,Codakia paytenorum,"(T. Iredale, 1937)","(Iredale, 1937)",Catalogue of Life
2450,Codakia punctata,"(Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2451,Codakia rugifera,"(L.A. Reeve, 1835)","(Reeve, 1835)",Catalogue of Life
2455,Coelatura aegyptiaca,"(F. Cailliaud, 1827)","(Cailliaud, 1827)",Catalogue of Life
2456,Coelatura hauttecoeuri,"(J.R. Bourguignat, 1883)","(Bourguignat, 1883)",Catalogue of Life
2457,Coelatura hypsiprymna,"(E.C. Von Martens, 1897)","(von Martens, 1897)",Catalogue of Life
2458,Coeliaxis blandi,"L. Pfeiffer, 1852","(L. Pfeiffer, 1854)",Catalogue of Life
2459,Colina macrostoma,"(R.B. Hinds, 1844)","(Hinds, 1844)",Catalogue of Life
2461,Colina pinguis,"(A. Adams, 1855)","A. Adams, 1855",Catalogue of Life
2462,Lottia dalliana,"(Pilsbry, 1891)","(Pilsbry, 1891)",Catalogue of Life
2463,Patelloida heroldi,"(Dunker, 1861)","(Dunker, 1861)",Catalogue of Life
2464,Lottia stanfordiana,"(Berry, 1957)","(Berry, 1957)",Catalogue of Life
2466,Colubraria fictilis,"R.B. Hinds, 1844","(Hinds, 1844)",Catalogue of Life
2467,Colubraria maculosa,"J.F. Gmelin, 1791","(Gmelin, 1791)",Catalogue of Life
2468,Colubraria nitidula,"(G.B. I Sowerby, 1833)","(G. B. Sowerby I, 1833)",Catalogue of Life
2469,Colubraria obscura,"(L.A. Reeve, 1844)","(Reeve, 1844)",Catalogue of Life
2470,Colubraria panamensis,"M. Smith, 1947","M. Smith, 1947",Catalogue of Life
2471,Colubraria perla,"M. Smith, 1947","M. Smith, 1947",Catalogue of Life
2472,Colubraria swifti,"G.W. Tryon, 1881","(Tryon, 1881)",Catalogue of Life
2473,Colubraria testacea,"(O.A.L. Mörch, 1854)","(Mörch, 1854)",Catalogue of Life
2475,Columbarium formosissimum,"J.R. le B. Tomlin, 1928","Tomlin, 1928",Catalogue of Life
2476,Columbarium pagoda,"(R.P. Lesson, 1831)","(Lesson, 1831)",Catalogue of Life
2481,Columbella amirantium,"E.A. Smith, 1884","E. A. Smith, 1884",Catalogue of Life
2482,Columbella approximata,"G.B. III Sowerby, 1920","W. H. Turton, 1932",Catalogue of Life
2483,Columbella avara,"R.W. Dunker, 1875","Say, 1822",Catalogue of Life
2484,Columbella bidentata,"K.T. Menke, 1843","Menke, 1843",Catalogue of Life
2487,Columbella filmerae,"G.B. III Sowerby, 1900","G. B. Sowerby III, 1900",Catalogue of Life
2488,Columbella flavida,"J.B.P.A. Lamarck, 1822","Lamarck, 1822",
2490,Columbella fulgurans,"C. Dupuis, 1931","Lamarck, 1822",
2492,Columbella lightfooti,"E.A. Smith, 1901","Columbella (Astyris) lightfooti E. A. Smith, 1901",Catalogue of Life
2494,Columbella mercatoria,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2495,Columbella moleculina,"P.L. Duclos, 1840",Duclos,MCZbase
2496,Columbella ocellata,"J.H.F. Link, 1807","Reeve, 1859",Catalogue of Life
2497,Columbella pardalina,"J.B.P.A. Lamarck, 1822","Lamarck, 1822",Catalogue of Life
2498,Columbella punctata,"T. Allan, 1818","Lamarck, 1822",
2499,Columbella rustica,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2500,Columbella scalarina,"G.B. I Sowerby, 1832","G. B. Sowerby I, 1832",Catalogue of Life
2502,Columbella shepstonensis,"E.A. Smith, 1910","E. A. Smith, 1910",Catalogue of Life
2504,Columbella striata,"P.L. Duclos, 1846","Duclos, 1840",Catalogue of Life
2505,Columbella strombiformis,"J.B.P.A. Lamarck, 1822","Lamarck, 1822",Catalogue of Life
2506,Columbella turturina,"J.B.P.A. Lamarck, 1822","Lamarck, 1822",
2507,Columbella varians,"G.B. I Sowerby, 1832","Hutton, 1885",Catalogue of Life
2508,Columbella veleda,"P.L. Duclos, 1846","Duclos, 1846",GBIF Backbone Taxonomy
2509,Columbella versicolor,"G.B. I Sowerby, 1832","G. B. Sowerby I, 1832",Catalogue of Life
2511,Colus gracilis,"E.M. Da Costa, 1778","(da Costa, 1778)",Catalogue of Life
2512,Colus morditus,"(W.H. Dall, 1919)","(Dall, 1919)",ITIS
2513,Colus stimpsoni,"O.A.L. Mörch, 1868","(Mörch, 1868)",Catalogue of Life
2514,Cominella acutinodosa,"(L.A. Reeve, 1846)","(Reeve, 1846)",Catalogue of Life
2515,Cominella adspersa,"(J.G. Bruguière, 1789)","(Bruguière, 1789)",Catalogue of Life
2517,Clathranachis angusta,"(G.B.Sowerby III, 1886)","(G. B. Sowerby III, 1886)",Catalogue of Life
2518,Cominella eburnea,"(L.A. Reeve, 1846)","(Reeve, 1846)",Catalogue of Life
2519,Cominella elongata,"R.W. Dunker, 1857","Dunker, 1857",Catalogue of Life
2520,Cominella filicea,"J.C.H. Crosse & P.H. Fischer, 1864","(Crosse & P. Fischer, 1864)",WoRMS
2521,Cominella glandiformis,"(L.A. Reeve, 1847)","(Reeve, 1847)",Catalogue of Life
2523,Cominella lineolata,"(J.B.P.A. Lamarck, 1809)","(Lamarck, 1816)",Catalogue of Life
2524,Cominella maculosa,"Martyn, 1784","(Martyn, 1784)",Catalogue of Life
2525,Cominella nassoides,"(L.A. Reeve, 1846)","(Reeve, 1846)",Catalogue of Life
2526,Cominella quoyana,"A. Adams, 1855","A. Adams, 1855",Catalogue of Life
2527,Nicema subrostrata,"(Wood, 1828)","(W. Wood, 1828)",Catalogue of Life
2528,Cominella turtoni,"(P. Bartsch, 1915)","(Bartsch, 1915)",Catalogue of Life
2529,Cominella virgata,"H. Adams & A. Adams, 1853","H. Adams & A. Adams, 1853",Catalogue of Life
2530,Comitas saldanhae,"(K.H. Barnard, 1958)","(Barnard, 1958)",Catalogue of Life
2532,Concholepas peruviana,"Lamarck, 1801","Lamarck, 1801",Catalogue of Life
2533,Congeria leucophaeta,"T.A. Conrad, 1831",[sic],Catalogue of Life
2541,Conus araneosus,"C.H. Hwass, 1792","Hwass, 1792",Catalogue of Life
2542,Conus arenatus,"P.F. Röding, 1798","Hwass in Bruguière, 1792",Catalogue of Life
2543,Conus augur,"C.H. Hwass in J.G. Bruguière, 1792","Hwass in Bruguière, 1792",Catalogue of Life
2544,Conus aureus,"P.F. Röding, 1798","Hwass in Bruguière, 1792",Catalogue of Life
2545,Conus aurora,"J.B.P.A. Lamarck, 1810","Lamarck, 1810",Catalogue of Life
2546,Conus australis,"J.B.P.A. Lamarck, 1810","Holten, 1802",Catalogue of Life
2553,Conus cancellatus,"Y. Hirase, 1934","Hwass in Bruguière, 1792",Catalogue of Life
2557,Conus chaldaeus,"P.F. Röding, 1798","(Röding, 1798)",Catalogue of Life
2558,Conus coronatus,"L.A. Reeve, 1849","Gmelin, 1791",Catalogue of Life
2562,Conus eburneus,"P.F. Röding, 1798","Hwass in Bruguière, 1792",Catalogue of Life
2575,Conus glaucus,"P.F. Röding, 1798","Linnaeus, 1758",Catalogue of Life
2584,Conus jaspideus,"J.F. Gmelin, 1791","Gmelin, 1791",Catalogue of Life
2585,Conus lautus,"L.A. Reeve, 1844","Reeve, 1844",Catalogue of Life
2587,Conus leopardus,"L.W. Dillwyn, 1817","(Röding, 1798)",Catalogue of Life
2593,Conus magus,"P.F. Röding, 1798","Linnaeus, 1758",Catalogue of Life
2595,Conus marmoreus,"C. Linnaeus, 1758","Linnaeus, 1758",Catalogue of Life
2599,Conus mindanus,"Hwass in Bruguière, 1792","Hwass in Bruguière, 1792",Catalogue of Life
2611,Conus omaria,"J.C. Melvill, 1900","Hwass in Bruguière, 1792",Catalogue of Life
2614,Conus parvulus,"Martin, 1879 †","Link, 1807",Catalogue of Life
2616,Conus pennaceus,"W. Korn, H.J. Niederhöfer & M. Blöcher, 2000","Born, 1778",Catalogue of Life
2617,Conus peronianus,"T. Iredale, 1931","(Iredale, 1931)",MCZbase
2622,Conus princeps,"H.S. Holton, 1802","Linnaeus, 1758",Catalogue of Life
2627,Conus pusillus,"J.B.P.A. Lamarck, 1810","Reeve, 1843",Catalogue of Life
2628,Conus quercinus,"C.H. Hwass in J.G. Bruguière, 1792","Hwass in Bruguière, 1792",Catalogue of Life
2630,Conus regius,"C.H. Hwass, 1792","Gmelin, 1791",Catalogue of Life
2633,Conus saundersi,"B.C. Cotton, 1945",,
2636,Conus scriptus,"G.B. II Sowerby, 1858","G. B. Sowerby II, 1858",Catalogue of Life
2641,Conus spurius,"P.F. Röding, 1798","Gmelin, 1791",Catalogue of Life
2643,Conus striatellus,"Jenkins, 1864 †","Link, 1807",Catalogue of Life
2645,Conus sulcatus,"C.H. Hwass in J.G. Bruguière, 1792","Hwass in Bruguière, 1792",Catalogue of Life
2646,Conus sumatrensis,"C.H. Hwass in J.G. Bruguière, 1792","Hwass in Bruguière, 1792",Catalogue of Life
2651,Conus tigrinus,"G.B. II Sowerby, 1858","G. B. Sowerby II, 1858",Catalogue of Life
2656,Conus ventricosus,"A. De Gregorio, 1885","Gmelin, 1791",Catalogue of Life
2657,Conus verriculum,"L.A. Reeve, 1843","Reeve, 1843",Catalogue of Life
2658,Conus verrucosus,"C.H. Hwass in J.G. Bruguière, 1792","Hwass in Bruguière, 1792",Catalogue of Life
2661,Conus violaceus,"J.H.F. Link, 1807","Gmelin, 1791",Catalogue of Life
2664,Conus vitulinus,"C.H. Hwass in J.G. Bruguière, 1792","Hwass in Bruguière, 1792",Catalogue of Life
2667,Cookia sulcata,"(J. Lightfoot, 1786)","(Gmelin, 1791)",Catalogue of Life
2670,Coralliophila caribaea,"Abbott, 1958","Abbott, 1958",Catalogue of Life
2671,Coralliophila clathrata,"(A. Adams, 1854)","(A. Adams, 1854)",Catalogue of Life
2672,Coralliophila fritschi,"(E.C. Von Martens, 1874)","(E. von Martens, 1874)",Catalogue of Life
2673,Coralliophila lamellosa,"G.J. De Cristofori & G. Jan in R.A. Philippi, 1836","(Philippi, 1836)",Catalogue of Life
2674,Coralliophila meyendorffii,"(Calcara, 1845)","(Calcara, 1845)",Catalogue of Life
2675,Coralliophila rosacea,"E.A. Smith, 1903","(E. A. Smith, 1903)",Catalogue of Life
2676,Coralliophila squamosissima,"(E.A. Smith, 1876)","(E. A. Smith, 1876)",Catalogue of Life
2677,Coralliophila violacea,"(L.C. Kiener, 1836)","(Kiener, 1836)",Catalogue of Life
2678,Corbicula africana,"Daget, 1961","(F. Krauss, 1848)",Catalogue of Life
2679,Corbicula astartina,"F. Haas, 1936","(E. von Martens, 1860)",Catalogue of Life
2680,Corbicula fluminalis,"Jickeli, 1874","(O. F. Müller, 1774)",Catalogue of Life
2681,Corbicula japonica,"T. Prime, 1864","Prime, 1864",Catalogue of Life
2682,Corbula patagonica,"D'Orbigny, 1845","d'Orbigny, 1846",Catalogue of Life
2683,Corbula rugifera,"E.A. Smith, 1903","E. A. Smith, 1903",Catalogue of Life
2684,Corbula vicaria,"T. Iredale, 1930",,
2685,Corbula zelandica,"J.R.C. Quoy & J.P. Gaimard, 1835","Quoy & Gaimard, 1835",Catalogue of Life
2686,Corculum cardissa,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2687,Coriocella nigra,"H.M.D. de Blainville, 1824","Blainville, 1824",Catalogue of Life
2688,Cornu aspersum,"O.F. Müller, 1774","(O. F. Müller, 1774)",Catalogue of Life
2689,Cosmetalepas africana,"(J.R. le B. Tomlin, 1926)","(Tomlin, 1926)",Catalogue of Life
2690,Costoanachis beckeri,"(G.B. III Sowerby, 1900)","(G. B. Sowerby III, 1900)",Catalogue of Life
2694,Craspedochiton producta,"(P.P. Carpenter in H.A. Pilsbry, 1892)","(Carpenter in Pilsbry, 1892)",Catalogue of Life
2700,Crassiclava halistrepta,"P. Bartsch, 1915","(Bartsch, 1915)",Catalogue of Life
2701,Crassiclava layardi,"(G.B. III Sowerby, 1897)","(G. B. Sowerby III, 1897)",Catalogue of Life
2702,Crassispira aesopus,"M.M. Schepman, 1913","(Schepman, 1913)",Catalogue of Life
2703,Crassispira bottae,"(Valenciennes in Kiener, 1839)","(Valenciennes in Kiener, 1839)",Catalogue of Life
2704,Crassispira hottentota,"E.A. Smith, 1882","(E. A. Smith, 1882)",Catalogue of Life
2706,Crassispira maura,"(G.B. I Sowerby, 1834)","(G. B. Sowerby I, 1834)",Catalogue of Life
2707,Crassispira nigerrima,"(G.B. I Sowerby, 1834)","(G. B. Sowerby I, 1834)",Catalogue of Life
2708,Crassostrea angulata,"(J.B.P.A. Lamarck, 1819)","(Lamarck, 1819)",Catalogue of Life
2710,Crassostrea gigas,"Thunberg, 1793","(Thunberg, 1793)",Catalogue of Life
2712,Crassostrea virginica,"(Gmelin, 1791)","(Gmelin, 1791)",Catalogue of Life
2714,Crepidula aculeata,"auct. non J.F. Gmelin, 1791","(Gmelin, 1791)",Catalogue of Life
2715,Crepidula convexa,"auct. non T. Say, 1822","Say, 1822",Catalogue of Life
2716,Crepidula costata,"G.P. Deshayes, 1830","Deshayes, 1830",Catalogue of Life
2717,Crepidula excavata,"(W.J. Broderip, 1834)","(Broderip, 1834)",Catalogue of Life
2718,Crepidula fornicata,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2720,Crepidula monoxyla,"R.P. Lesson, 1831","(Lesson, 1831)",Catalogue of Life
2721,Crepidula nummaria,"A.A. Gould, 1846","A. Gould, 1846",Catalogue of Life
2722,Crepidula onyx,"auct. non G.B. I Sowerby, 1824","G. B. Sowerby I, 1824",Catalogue of Life
2723,Crepidula plana,"A. Adams & L.A. Reeve, 1850","Say, 1822",Catalogue of Life
2724,Crepidula porcellana,"J.B.P.A. Lamarck, 1801","Lamarck, 1801",Catalogue of Life
2725,Crepidula striolata,"K.T. Menke, 1851","Menke, 1851",Catalogue of Life
2726,Creseis acicula,"P.C.A.S.L. Rang, 1828","(Rang, 1828)",Catalogue of Life
2733,Cronia pseudamygdala,"C. Hedley, 1903","(Hedley, 1903)",Catalogue of Life
2734,Crucibulum auricula,"Gmelin, 1791","(Gmelin, 1791)",Catalogue of Life
2735,Crucibulum spinosum,"(G.B. I Sowerby, 1824)","(G. B. Sowerby I, 1824)",Catalogue of Life
2736,Cryptoconchus porosus,"(E.J. Burrow, 1815 ex Blainville MS)","(Burrow, 1815)",Catalogue of Life
2737,Cryptomya elliptica,"Adams, 1851 †","(A. Adams, 1851)",Catalogue of Life
2738,Cryptopecten vesiculosus,"Dunker, 1877","(Dunker, 1877)",Catalogue of Life
2739,Cryptospira quinqueplicata,"J.B.P.A. Lamarck, 1822",,
2740,Ctena sulphurea,"R.N. Kilburn, 1974","Kilburn, 1974",Catalogue of Life
2741,Ctena valida,"(E.A. Smith, 1904)","(E. A. Smith, 1904)",Catalogue of Life
2742,Cupidoliva nympha,"(A. Adams & G.F. Angas, 1864)","(A. Adams & Angas, 1864)",Catalogue of Life
2743,Curvella catarractae,"(Melvill & Ponsonby, 1897)","(Melvill & Ponsonby, 1897)",Catalogue of Life
2744,Curvella elevata,H.C. Burnup,"Burnup, 1905",Catalogue of Life
2747,Cuspidaria brazieri,"E.A. Smith, 1885","(E. A. Smith, 1885)",Catalogue of Life
2749,Cyclina sinensis,"(J.F. Gmelin, 1791)","(Gmelin, 1791)",Catalogue of Life
2750,Cyclinella tenuis,"(Recluz, 1852) †","(Récluz, 1852)",Catalogue of Life
2751,Cyclocardia borealis,"(Conrad, 1832)","(Conrad, 1832)",Catalogue of Life
2752,Cyclonaias tuberculata,"C.S. Rafinesque, 1820","(Rafinesque, 1820)",Catalogue of Life
2754,Cyclope neritea,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2755,Cyclophorus appendiculatus,"(L. Pfeiffer, 1851)","L. Pfeiffer, 1854",Catalogue of Life
2756,Cyclophorus woodianus,"H.C. Lea, 1841","(I. Lea, 1840)",Catalogue of Life
2758,Cylichna arachis,"J.R.C. Quoy & J.P. Gaimard, 1833","(Quoy & Gaimard, 1833)",WoRMS
2759,Cylichna peroniana,"T. Iredale, 1936",,
2760,Cylichna tubulosa,"A.A. Gould, 1859","Gould, 1859",Catalogue of Life
2762,Cymatiella quoyi,"L.A. Reeve, 1844",,
2763,Cymatiella verrucosa,"(L.A. Reeve, 1844)","(Reeve, 1844)",Catalogue of Life
2765,Cymatium caribbaeum,"Clench & Turner, 1957","Cymatium (Ranularia) caribbaeum Clench & R. D. Turner, 1957",Catalogue of Life
2766,Ranularia caudatum,"J.F. Gmelin, 1791",,
2767,Cymatium clandestinum,"J.B.P.A. Lamarck, 1816","(Lamarck, 1816)",Catalogue of Life
2768,Cymatium corrugatum,"J.B.P.A. Lamarck, 1816","(Lamarck, 1816)",Catalogue of Life
2769,Cymatium cutaceum,"J.B.P.A. Lamarck, 1816","(Linnaeus, 1767)",Catalogue of Life
2773,Cymatium femorale,"(Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2777,Monoplex klenei,"(Sowerby III, 1889)","(G. B. Sowerby III, 1890)",Catalogue of Life
2778,Turritriton labiosus,"(Wood, 1828)","(W. Wood, 1828)",Catalogue of Life
2779,Cymatium lotorium,"(C. Linnaeus, 1758)","Cymatium (Lotoria) lotorium (Linnaeus, 1758)",Catalogue of Life
2780,Cymatium moritinctum,"L.A. Reeve, 1844","(Reeve, 1844)",Catalogue of Life
2781,Gutturnium muricinum,"(Roding, 1798)","(Röding, 1798)",Catalogue of Life
2782,Monoplex nicobaricus,"Röding, 1798","(Röding, 1798)",Catalogue of Life
2783,Monoplex parthenopeus,"von Salis-Marschlins, 1793","(Salis Marschlins, 1793)",Catalogue of Life
2784,Monoplex pilearis,"(Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
2790,Monoplex vespaceus,"(Lamarck, 1822)","(Lamarck, 1822)",Catalogue of Life
2792,Monoplex wiegmanni,"(Anton, 1838)","(Anton, 1838)",Catalogue of Life
2793,Cymbiola deshayesi,"(L.A. Reeve, 1854)","(Reeve, 1854)",Catalogue of Life
2794,Cymbiola flavicans,"(J.F. Gmelin, 1791)","(Gmelin, 1791)",Catalogue of Life
2796,Cymbiola imperialis,"(J. Lightfoot, 1786)","( [Lightfoot] , 1786)",Catalogue of Life
2797,Cymbiola irvinae,"(E.A. Smith, 1909)","(E. A. Smith, 1909)",Catalogue of Life
