taxonid,fullname,Author
1636,Ancilla albozonata,"E.A. Smith, 1904"
1639,Ancilla cingulata,"G.B. I Sowerby, 1830"
1640,Ancilla cinnamomea,"J.B.P.A. Lamarck, 1801"
1642,Ancilla elongata,"J.E. Gray, 1874"
1643,Ancilla fasciata,"(L.A. Reeve, 1864)"
1646,Ancilla marmorata,"(L.A. Reeve, 1864)"
1656,Angaria delphinus,"(C. Linnaeus, 1758)"
1657,Angaria formosa,"(L.A. Reeve, 1843)"
1659,Anguispira alternata,"T. Say, 1816"
1661,Angulus spenceri,"H.H. Suter, 1907"
1664,Anodonta anatina,"G. Stabile, 1845"
1665,Anodonta cygnea,"(C. Linnaeus, 1758)"
1666,Anodonta grandis,"T. Say, 1829"
1667,Anodontia alba,"Link, 1807"
1668,Anodontia edentula,"(C. Linnaeus, 1758)"
1669,Anodontoides ferussacianus,"(I. Lea, 1834)"
1670,Anomalocardia brasiliana,"(J.F. Gmelin, 1791)"
1671,Anomalocardia cuneimeris,"(T.A. Conrad, 1846)"
1673,Anomalocardia squamosa,"Linnaeus, 1758"
1674,Anomalocardia subrugosa,"(W. Wood, 1828)"
1675,Anomia achaeus,"Gray, 1849"
1677,Anomia ephippium,"Linnaeus, 1758"
1678,Anomia peruviana,"A.V.M.D. D'Orbigny, 1846"
1679,Anomia simplex,"J.F. Mabille, 1895"
1680,Anomia trigonopsis,"F.W. Hutton, 1877"
1681,Anomia walteri,"J. Hector, 1895"
1682,Antalis inflexa,"(G.B. III Sowerby, 1903)"
1683,Antalis longitrorsa,"(L.A. Reeve, 1842)"
1685,Antillophos candei,"D'Orbigny, 1842"
1686,Antisolarium egenum,"(A.A. Gould, 1849)"
1687,Aphelodoris brunnea,"L.S.R. Bergh, 1890"
1692,Aplexa hypnorum,"C. Linnaeus, 1758"
1693,Aplexa marmorata,"L. Guilding, 1828"
1694,Aplysia dactylomela,"P.C.A.S.L. Rang, 1828"
1695,Aplysia juliana,"J.R.C. Quoy & J.P. Gaimard, 1832"
1696,Aplysia maculata,"P.C.A.S.L. Rang, 1828"
1697,Aplysia oculifera,"A. Adams & L.A. Reeve, 1850"
1698,Aplysia parvula,"O.A.L. Mörch, 1863"
1702,Apolymetis orbicularis,"(G.B. III Sowerby, 1889)"
1704,Aporrhais pespelecani,"C. Linnaeus, 1758"
1705,Aporrhais pespelicani,"(C. Linnaeus, 1758)"
1706,Aporrhais serresianus,"(A. Michaud, 1828)"
1708,Arca avellana,"J.B.P.A. Lamarck, 1819"
1710,Arca navicularis,"Bruguière, 1789"
1711,Arca noae,"Linnaeus, 1758"
1712,Arca umbonata,"J.B.P.A. Lamarck, 1819"
1713,Arca zebra,"L.A. Reeve, 1844"
1714,Archachatina semigranosa,"L. Pfeiffer, 1861"
1715,Archachatina ustulata,"(J.B.P.A. Lamarck, 1822)"
1716,Architectonica laevigata,"(J.B.P.A. Lamarck, 1816)"
1717,Architectonica maxima,"Philippi, 1849"
1718,Architectonica nobilis,"Röding, 1798"
1719,Architectonica perdix,"Hinds, 1844"
1720,Architectonica perspectiva,"Linnaeus, 1767"
1721,Arcinella cornuta,"Conrad, 1866"
1722,Arcopsis adamsi,"(W.H. Dall, 1886)"
1723,Arcopsis gibba,"C.F.F. von Krauss, 1848"
1726,Arctica islandica,"(C. Linnaeus, 1767)"
1727,Arcuatula capensis,"(C.F.F. von Krauss, 1848)"
1728,Argobuccinum argus,"J.F. Gmelin, 1791"
1729,Argobuccinum pustulosum,"(J. Lightfoot, 1786)"
1730,Argobuccinum tumidum,"(R.W. Dunker, 1862)"
1731,Argonauta argo,"C. Linnaeus, 1758"
1732,Argonauta boettgeri,"H. von Maltzan, 1881"
1733,Argopecten gibbus,"(C. Linnaeus, 1758)"
1734,Arion intermedius,"N.A.J. Normand, 1852"
1735,Asaphis deflorata,"Linnaeus, 1758"
1736,Asaphis dichotoma,"H.E. Anton, 1838"
1738,Aspatharia trapezia,"(E.C. Von Martens, 1897)"
1739,Aspella acuticostata,"(W.H. Turton, 1932)"
1742,Aspella paupercula,"G.W. Nowell-Usticke, 1969"
1744,Assiminea ovata,"(C.F.F. von Krauss, 1848)"
1746,Astarte alaskensis,"W.H. Dall, 1903"
1747,Astarte castanea,"Say, 1822"
1748,Astarte undata,"Gould, 1841"
1751,Uvanilla unguis,"Wood, 1828"
1752,Lithopoma caelata,"J.F. Gmelin, 1791"
1754,Astraea heliotropium,"(T. Martyn, 1784)"
1757,Lithopoma phoebia,"P.F. Röding, 1798"
1758,Astraea sirius,"Hedley, 1923 †"
1764,Atoxonoides meridionalis,"(L. Forcart, 1967)"
1766,Atrina pectinata,"Linnaeus, 1758"
1767,Atrina rigida,"(J. Lightfoot, 1786)"
1768,Atrina serrata,"Sowerby, 1825"
1769,Atrina squamifera,"(G.B. Sowerby, 1835)"
1770,Atrina vexillum,"(I. von Born, 1778)"
1771,Atrina zelandica,"(J.E. Gray, 1835)"
1774,Atys naucum,"(C. Linnaeus, 1758)"
1775,Aulacomya ater,"J.I. Molina, 1782"
1776,Aulacomya atra,"(J.I. Molina, 1782)"
1777,Aulacomya maoriana,"T. Iredale, 1915"
1778,Austrocochlea constricta,"(J.B.P.A. Lamarck, 1822)"
1783,Austrodrillia praetermissa,"E.A. Smith, 1904"
1787,Austrofusus glans,"(Roding, 1798) †"
1788,Austroginella muscaria,"(J.B.P.A. Lamarck, 1822)"
1789,Austroginella translucida,"(G.B. II Sowerby, 1846)"
1790,Austromactra rufescens,"Lamarck, 1819"
1791,Austromitra canaliculata,"(G.B. III Sowerby, 1900)"
1792,Austromitra capensis,"(L.A. Reeve, 1845)"
1793,Austromitra rhodarion,"(R.N. Kilburn, 1972)"
1797,Babylonia areolata,"(J.H.F. Link, 1807)"
1798,Babylonia formosae,"(G.B. II Sowerby, 1866)"
1799,Babylonia japonica,"Reeve, 1842"
