taxonid,fullname,Author,source
1796,Austrovenus stutchburyi,"(W. Wood, 1828)",Catalogue of Life
1801,Babylonia papillaris,"(G. B. Sowerby I, 1825)",Catalogue of Life
1803,Balylonia pintado,,
1806,Barbatia coelata,"(Reeve, 1844)",WoRMS
1812,Barbatia petasion,"Kilburn, 1983",Catalogue of Life
1814,Barbatia plicata,"(Dillwyn, 1817)",Catalogue of Life
1819,Barnea costata,"(Linnaeus, 1758)",Catalogue of Life
1821,Barnea maritima,,
1823,Baryspira australis,"(G. B. Sowerby I, 1830)",Catalogue of Life
1824,Baryspira mucronata,"(G. B. Sowerby I, 1830)",Catalogue of Life
1828,Bathyspira australis,,
1832,Batillaria alexandri,,
1833,Batillaria cumingii,"(Crosse, 1862)",WoRMS
1835,Batillaria subcarinatus,,
1837,Bedeva assisi,,
1838,Bedeva hanleyi,,
1844,Benthoclionella visagei,,
1846,Beringius adelficus,,
1847,Berthella granulata,"(Krauss, 1848)",Catalogue of Life
1851,Biplex jacundum,,
1854,Bittium filosum,"(Gould, 1849)",
1856,Bittium varium,"(L. Pfeiffer, 1840)",Catalogue of Life
1862,Booneostrea rehderi,,
1867,Buccinanops deformis,"(P. P. King, 1832)",Catalogue of Life
1868,Buccinanops duartei,"Klappenbach, 1961",Catalogue of Life
1870,Buccinanops gradatus,"(Deshayes, 1844)",Catalogue of Life
1871,Buccinanops uruguayanus,,
1872,Buccinanops vittatum,"(Linnaeus, 1767)",
1874,Buccinulum lineum,"(Martyn, 1784)",MCZbase
1876,Buccinulum strebeli,"(Suter, 1908)",WoRMS
1886,Bulinus tentaculata,Linn.,MCZbase
1894,Bulla quoyi,"Gray in A. Adams, 1850",Catalogue of Life
1919,Bullina trophicus,,
1920,Burnupena arcta,,
1928,Burnupena tigrina,"(Kiener, 1834)",Catalogue of Life
1929,Burnupia capensis,"(B. Walker, 1912)",Catalogue of Life
1931,Bursa californica,"(Hinds, 1843)",Catalogue of Life
1935,Bursa crumenoides,,
1936,Bursa crumenoria,,
1937,Bursa foliata,Brod.,MCZbase
1941,Bursa pustulosa,"(L.Reeve, 1844)",
1942,Bursa rana,"(Linnaeus, 1758)",Catalogue of Life
1947,Bursa semigranosa,"Lamarck, 1822",ITIS
1953,Busycon coarctatum,"(G. B. Sowerby I, 1825)",Catalogue of Life
1956,Busycon spiratum,"(Lamarck, 1816)",ITIS
1958,Cadulus booceras,"Tomlin, 1926",Catalogue of Life
1960,Caecum nitidum,"Stimpson, 1851",Catalogue of Life
1961,Calfridus speciosus,,
1968,Calliostoma cunninghamii,"(Gray, 1833)",WoRMS
1969,Calliostoma doliarium,"(Chemnitz, 1788)",
1972,Calliostoma granulatum,"(Born, 1778)",Catalogue of Life
1977,Calliostoma monile,"Reeve, 1863",
1979,Calliostoma ornatum,"(Lamarck, 1822)",Catalogue of Life
1980,Calliostoma papillosa,"(da Costa, 1778)",Catalogue of Life
1983,Calliostoma punctulatum,"(Martyn, 1784)",Catalogue of Life
1997,Callista purpurata,,
1998,Callochiton castaneus,"Callochiton (Trachyradsia) castaneus (W. Wood, 1815)",Catalogue of Life
2005,Camaena monochroa,"Camaena (Camaena) monochroa (G. B. Sowerby I, 1841)",Catalogue of Life
2008,Campeloma solida,,
2009,Campeloma teniculum,,
2010,Cancellaria assidiformis,,
2011,Cancellaria cancellata,"(Linnaeus, 1767)",Catalogue of Life
2012,Cancellaria cassidaeformis,[sic],WoRMS
2013,Cancellaria crispa,"G. B. Sowerby I, 1832",Catalogue of Life
2014,Cancellaria laticostata,"Tenison-Woods, 1880",Catalogue of Life
2020,Subcancilla circula,"(Kiener, 1838)",Catalogue of Life
2022,Ziba flammigera,"(Reeve, 1844)",Catalogue of Life
2023,Mitra incarnata,"Reeve, 1845",Catalogue of Life
2026,Canneotus mitriformis,,
2028,Cantharidus bellulus,"Cantharidus (Phasianotrochus) bellulus (Dunker, 1845)",MCZbase
2029,Cantharidus chlorostomus,,
2030,Phasianotrochus eximius,"(Perry, 1811)",Catalogue of Life
2031,Cantharidus fasciatus,"(Menke, 1830)",MCZbase
2033,Cantharidus irisodontes,"Cantharidus (Phasianotrochus) irisodontes (Quoy & Gaimard, 1834)",MCZbase
2034,Prothalotia lehmanni,"(Menke, 1843)",Catalogue of Life
2038,Cantharidus rosea,,
2039,Cantharidus striatus,"(Linnaeus, 1758)",
2041,Jujubinus suarezensis,"(P. Fischer, 1878)",Catalogue of Life
2042,Cantharidus undosus,,
2043,Cantharidus unidentatus,,
2044,Cantharus anomalus,,
2045,Cantharus aurutula,,
2046,Cantharus capitanea,"(Berry, 1957)",Catalogue of Life
2049,Cantharus dorbignyi,"(Payraudeau, 1826)",WoRMS
2055,Cantharus macrospira,Berry,MCZbase
2056,Cantharus microspira,,
2057,Cantharus mollis,"Cantharus (Pollia) mollis (Gould, 1860)",Catalogue of Life
2058,Cantharus multiangulata,,
2059,Cantharus multiangulus,,
